_id,id,name,address_number,street,city,hours_of_operation,notes,phone_number,website,,,,,,,,,,neighborhood,council_district,ward,public_works_division,police_zone,fire_zone,
10,1091895125,Best Buy - North Hills,NA,,,10:00 a.m. - 9:00 p.m. Monday - Saturday,Does NOT accept televisions or computer monitors,412-635-6110,http://www.bestbuy.com/site/clp/recycling/pcmcat149900050025.c?id=pcmcat149900050025,,,,,,,,,,Town road,,,,,,
11,1372502212,Best Buy - Robinson,440,TPK,madurai,10:00 a.m. - 9:00 p.m. Monday - Saturday,Does NOT accept televisions or computer monitors,412-490-2080,http://www.bestbuy.com/site/clp/recycling/pcmcat149900050025.c?id=pcmcat149900050025,,,,,,,,,,Ring road,,,,,,
13,1276055567,CCI Center Drop Box,64,TPK,madurai,"8:30 a.m. - 5:00 p.m., Monday - Friday",Located in Lobby,412-488-7490,,,,,,,,,,,Car stand,3,17,3,3,24-Apr,
14,363498631,City-County Building Drop Box,526,sellur,madurai,8:30 a.m. - 4:30 p.m.,Located in Lobby,,,,,,,,,,,,,6,1,6,2,4-Jan,
45,1820877863,Salvation Army - South Side,809,Pykara,madurai,Call for current hours of operation,Call or visit their website to find out what items are currently accepted/unaccepted.,412-246-0730,https://satruck.org/Home/DonationValueGuide,,,,,,,,,,colony,3,17,3,3,2-Apr,
8,1693588898,Batteries Plus Bulbs - Robinson,401,sellur,madurai,"8:00 a.m. - 8:00 p.m. Monday - Friday 8:00 a.m. - 7:00 p.m., Saturdays 11:00 a.m. - 6:00 p.m., Sundays",Fees May Apply,412-366-3600,https://www.batteriesplus.com/t/recycling,,,,,,,,,,Town road,,,,,,
9,628800794,Best Buy - Homestead,NA,,,10:00 a.m. - 9:00 p.m. Monday - Saturday,,412-476-8061,http://www.bestbuy.com/site/clp/recycling/pcmcat149900050025.c?id=pcmcat149900050025,,,,,,,,,,Bazar,,,,,,
41,479398669,Public Works Environmental Services Drop Box,3351,sellur,madurai,"Monday - Friday, 8:00 a.m. - 4:00 p.m.",Located in ES Lobby,412-255-2631,,,,,,,,,,,colony,7,6,6,2,2-Mar,
7,701945774,Batteries Plus Bulbs - North Hills,4808,Anna nagar,madurai,"8:00 a.m. - 8:00 p.m. Monday - Friday 8:00 a.m. - 7:00 p.m., Saturdays 11:00 a.m. - 6:00 p.m., Sundays",Fees May Apply,412-366-3600,https://www.batteriesplus.com/t/recycling,,,,,,,,,,Bazar,,,,,,
1,1961537237,ABC - EX Transfer Station,1010,Anna nagar,madurai,7:00 a.m. - 4:45 p.m. Monday - Friday. 9:00 a.m. - 1:00 p.m. Saturdays,"Call to confirm accepted/unaccepted items.

$75/Ton",412-331-3590,https://abcez.com/services/,,,,,,,,,,Ring road,,,,,,
2,1712687323,Advance Auto Parts - Babcock Blvd,1445,TPK,madurai,7:30 a.m. - 6:00 p.m. Monday - Friday 8:00 a.m. - 4:00 p.m. Saturdays 9:00 a.m. - 3:00 p.m. Sundays,,412-821-2700,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,,,,,,,,,,Bazar,,,,,,
30,1585949269,Home Depot - Ben Avon Heights,112,Anna nagar,madurai,"6:00 a.m. - 10:00 p.m., Monday - Saturday 8:00 a.m. - 6:00 p.m., Sundays",,412-364-6114,http://ecooptions.homedepot.com/healthy-home/recycling/,,,,,,,,,,IT park,,,,,,
12,2004182064,Boyd Roll-Off Services Transfer Station,164,sellur,madurai,,Fees Apply. Call for pricing and to confirm accepted/unaccepted items.,412-331-6830,http://boydrolloff.com/,,,,,,,,,,Car stand,,,,,,
27,1406711898,Goodwill - East Liberty,5956,Pykara,madurai,9:00 a.m. - 7:00 p.m. Monday - Saturday 11:00 a.m. - 5:00 p.m. Sundays,Call or visit their website to learn more about currently accepted/unaccepted items,412-924-0070,http://www.amazinggoodwill.com/donating/donor-guidelines,,,,,,,,,,colony,8,7,2,4,11-Mar,
31,1664998873,Home Depot - East Liberty,400,sellur,madurai,"6:00 a.m. - 10:00 p.m., Monday - Saturday 8:00 a.m. - 6:00 p.m., Sundays",,412-363-9150,http://ecooptions.homedepot.com/healthy-home/recycling/,,,,,,,,,,Bazar,9,11,2,5,8-Mar,
43,2127515824,Public Works Strip District Drop Off,3001,Anna nagar,madurai,24 Hours / Day,"Does NOT Accept Yard Debris, Scrap Metal or Tires",412-255-2631,,,,,,,,,,,Ring road,7,6,6,2,2-Mar,
48,1757337897,West Penn Laco,1830,Anna nagar,madurai,"Monday - Friday, 8:00 a.m. - 5:00 p.m.",,412-321-1000,http://westpennlaco.com/,,,,,,,,,,Car stand,6,21,1,1,8-Jan,
21,416304083,Giant Eagle - Shadyhill Plaza,6320,Vasantham nagar,madurai,"6:00 a.m. - 12:00 a.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 361-6220,,,,,,,,,,,colony,8,7,2,4,13-Mar,
38,796052897,Public Works 2nd Division,6814,pasumalai,madurai,"8:00 a.m. - 2:00 p.m., Monday - Friday Call for possible Saturday hours",,412-665-3609,,,,,,,,,,,IT park,9,12,2,5,17-Mar,
22,983094360,Giant Eagle - Shadyside,5521,sellur,madurai,"6:00 a.m. - 12:00 a.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 681-1500,,,,,,,,,,,Car stand,8,7,2,4,22-Mar,
23,275354579,Giant Eagle - South Side,2021,pasumalai,madurai,"6:00 a.m. - 12:00 a.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 488-1816,,,,,,,,,,,colony,3,17,3,3,24-Apr,
25,1552638106,Giant Eagle - Waterworks,831,Anna nagar,madurai,Open 24 Hours,"Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 421-6472,,,,,,,,,,,Bazar,9,12,2,5,24-Mar,
39,1962291503,Public Works 4th Division,405,Vasantham nagar,madurai,24 Hours / Day,,412-488-8341,,,,,,,,,,,Town road,3,30,5,3,7-Apr,
40,421354720,Public Works 5th Division,1330,Vasantham nagar,madurai,"8:00 a.m. - 2:00 p.m., Monday - Friday Call for possible Saturday hours",,412-937-3054,,,,,,,,,,,Ring road,2,20,5,6,17-Jan,
29,609264503,Goodwill - Upper Lawrenceville,118,TPK,madurai,9:00 a.m. - 7:00 p.m. Monday - Saturday 10:00 a.m. - 5:00 p.m. Sundays,Call or visit their website to learn more about currently accepted/unaccepted items.,412-481-9005,http://www.amazinggoodwill.com/donating/donor-guidelines,,,,,,,,,,Car stand,7,10,2,2,5-Mar,
33,1208033518,Home Depot - Robinson,NA,,madurai,"6:00 a.m. - 10:00 p.m., Monday - Saturday 8:00 a.m. - 6:00 p.m., Sundays",,412-494-2844,http://ecooptions.homedepot.com/healthy-home/recycling/,,,,,,,,,,colony,,,,,,
3,2029078673,Advance Auto Parts - East Liberty,5905,Anna nagar,madurai,7:30 a.m. - 9:00 p.m. Monday - Saturday 9:00 a.m. - 6:00 p.m. Sundays,,412-661-7050,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,,,,,,,,,,Town road,9,11,2,5,8-Mar,
4,1877381706,Advance Auto Parts - Etna,475,TPK,madurai,7:30 a.m. - 9:00 p.m. Monday - Saturday 9:00 a.m. - 8:00 p.m. Sundays,,412-781-5480,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,,,,,,,,,,Town road,,,,,,
5,1160745337,Allegheny County Health Department,3901,pasumalai,madurai,"8:00 a.m. - 4:00 p.m., Monday - Friday",,412-578-8390,,,,,,,,,,,colony,7,6,2,2,3-Mar,
35,1622980097,Penn Waste Transfer Station,143,Vasantham nagar,madurai,7:00 a.m. - 5:00 p.m. Monday - Friday. 8:00 a.m. - 11:30 a.m. Saturdays,Call for pricing and to confirm accepted/unaccepted items.,412-771-1000,http://www.pennwastesystems.com/transfer-station/,,,,,,,,,,Car stand,,,,,,
36,1143324555,Petromax,301,Vasantham nagar,madurai,Call for current hours of operation,,412-279-9040,,,,,,,,,,,IT park,,,,,,
44,1329645100,Salvation Army - Allegheny Center,100,TPK,madurai,Call for current hours of operation,Call or visit their website to find out what items are currently accepted/unaccepted.,412-321-0290,https://satruck.org/Home/DonationValueGuide,,,,,,,,,,Bazar,1,22,1,1,21-Jan,
46,1832282355,Target - East Liberty,6229,sellur,madurai,"8:00 a.m. - 11:00 p.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 441-7960,,,,,,,,,,,Ring road,9,11,2,5,10-Mar,
47,92407468,Target - McKnight Rd,4826,Pykara,madurai,"8:00 a.m. - 11:00 p.m., Monday - Saturday. 8:00 a.m. - 10:00 p.m., Sundays","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 536-1807,,,,,,,,,,,IT park,,,,,,
37,1996021536,Pittsburgh Center for Creative Reuse,200,sellur,madurai,11:00 a.m. - 6:00 p.m. Daily,Visit their website to learn more about currently accepted/unaccepted items,412-473-0100,http://pccr.org/donate/material-donations/,,,,,,,,,,Town road,9,14,2,4,14-Mar,
32,1862688163,Home Depot - Monroeville,NA,,,"6:00 a.m. - 10:00 p.m., Monday - Saturday 8:00 a.m. - 6:00 p.m., Sundays",,412-824-9406,http://ecooptions.homedepot.com/healthy-home/recycling/,,,,,,,,,,colony,,,,,,
49,943666219,Whole Foods - Shadyside,5880,Vasantham nagar,madurai,"8:00 a.m. - 10:00 p.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 441-7960,,,,,,,,,,,,8,7,2,4,11-Mar,
